"Name","Location"
".ClearDoubleClicked__15GInterfaceFlagsFv","10000000"
".InsideExclusion__15CameraExclusionF7LHPoint","10000050"
".PlaySoundEffect__6GAudioFP4BaseUlUlUlii19AUDIO_SFX_BANK_TYPE","100001c0"
".PlaySoundEffect__6GAudioFP4BaseUlUlUliiP12LH_AudioBank","10000240"
".ClearSelect__15GInterfaceFlagsFv","100003c0"
".Clear__12ScriptManageFv","10000410"
".ClearThingOnly__12ScriptManageFv","10000470"
".PlaySoundEffect__6GAudioFP4BaseRC7LHPointUlUlUliiP12LH_AudioBank","100004c0"
".ClearSelectLockOff__15GInterfaceFlagsFv","10000640"
".GetFieldActivity__5FieldFi","10000690"
".GetPercentFull__5FieldFv","10000730"
".IsDeletedWhenReleasedFromScript__16GameThingWithPosFv","10000790"
".GetResourceHeld__8VillagerFR13RESOURCE_TYPE","100007e0"
".IsScriptHighlight__16GameThingWithPosFv","10000870"
".GetScriptObjectType__16GameThingWithPosFv","100008c0"
".RemoveThingMusic__6GAudioFP16GameThingWithPos","10000910"
".CalculateJunction__13GestureSystemFll","10000a40"
".GetPreviousKeyPointOffset__13GestureSystemFl","10000c70"
".IsTown__4TownFv","10000d70"
".CalculateKeyAngleDifference__13GestureSystemFl","10000da0"
".ConvertAngleToDirection__13GestureSystemCFf","10000e80"
".JustAddResource__5AbodeF13RESOURCE_TYPEUlb","10000f50"
".SetPlayer__18GParticleContainerFP7GPlayer","10000fb0"
".SetPlayer__15GJPSysInterfaceFP7GPlayer","10001030"
".GetPreviousJunction__13GestureSystemFl","10001140"
".SetPoisoned__3PotFi","100011f0"
".NumGameTicksPerSecond__9GGameInfoFv","10001310"
".SetTime__11ScriptTimerFf","10001360"
".Set__8BaseInfoFP4Base","10001410"
".SetInfo__4BaseCFP8BaseInfo","10001480"
".GetGameTurn__5GGameCFv","10001530"
".Running__7LHTimerFv","10001570"
".SetSpeedUpFactor__7LHTimerFf","100016c0"
".GetSpeedUpFactor__7LHTimerFv","100017b0"
".Stop__7LHTimerFv","10001820"
".CameraHelpCallback__10CameraHelpF16CameraHelpReasonR7LHPointUl","100018f0"
".IsSamplePlaying__6GAudioCFP4BaseUlP12LH_AudioBank","10001b50"
".SetPacket__5GGameF11PACKET_TYPEP7LHPointP7LHPointUc","10001bf0"
".InterfaceActionStateLandscape__10GInterfaceFv","10001cb0"
".UpdateStatusInfo__10GInterfaceFRC7LHPointRC7LHPoint","10001d90"
".UpdateCameraInfo__16GInterfaceStatusFRC7LHPointRC7LHPoint","10001e00"
".GetBank__8SoundTagCFv","10001e70"
".CreateSpotVisual__18GParticleContainerFRC9MapCoords16SPOT_VISUAL_TYPEfP16GameThingWithPos","10001ef0"
".IsSoundAvailable__10HelpSystemCFUl","10002030"
".InterfaceActionSelect__10GInterfaceFv","10002100"
".GetFirst__51SLL<6Living,&.FlockOrder__6LivingFP6LivingP6Living>Fv","10002160"
".ReleaseScriptThingIntoTheGame__7GScriptFP16GameThingWithPosUli","100021d0"
".CheckIfIShouldReact__6LivingF8REACTIONUl","10002430"
".AddToBoredomMultiplier__7GBeliefFP8Reactionf","10002620"
".IsPosValidForMapCellExistance__6LivingFRC9MapCoords","100026a0"
".GetImpressiveValue__16GameThingWithPosFP6LivingP8Reaction","100026f0"
".GetUpdateOfBoredomValue__16GameThingWithPosFP8ReactionP16GameThingWithPos","10002750"
".GetIncrementSpiralSizeFromRadius__6GUtilsFff","100027c0"
".GetResourceNearestEdge__10StoragePitF13RESOURCE_TYPEP6Objecti","10002840"
".IsCloseToEqual__9MapCoordsCFRC9MapCoordsf","100028d0"
".swap<Ul>__3stdFRUlRUl","10002980"
".DecrementScriptReference__7GScriptFUl","100029c0"
".GetInfo__3PotCFv","10002aa0"
".GetPotType__8GPotInfoCFv","10002ad0"
".DoResourceAdding__5AbodeF13RESOURCE_TYPEUlP16GInterfaceStatusbRC9MapCoordsi","10002b90"
".__ct__48LHFastPointer<31LHLinkedNode<P14AtomCollection>>Fv","10003020"
".CreateSpotVisualWithSpecifiedDuration__18GParticleContainerFRC9MapCoords16SPOT_VISUAL_TYPEflP16GameThingWithPos","10003080"
".AddScriptGameThing__7GScriptFP16GameThingWithPosi","100031c0"
".FindFreeScriptGameThingSlot__7GScriptFv","10003360"
".SetInScript__16GameThingWithPosFi","10003460"
".GetProportionRaised__8PileFoodCFv","100034b0"
".GetAmountOfFoodRequiredForMeal__8VillagerFv","100035f0"
".GetScriptObjectType__14GStreetLanternFv","10003680"
".GetScriptObjectType__4TreeFv","100036d0"
".Getg_list__13FlyingObjectsFv","10003710"
".Sub__7LHPointFRC7LHPoint","100037a0"
".ReleaseControlFromScript__7GScriptFP16GameThingWithPosUli","10003800"
".SetScreenCursorChangeXY__10GInterfaceFP7LHCoord","10003990"
".ArriveHome__8VillagerFv","100039f0"
".ArriveHome__5AbodeFv","10003a60"
".GotoBedAtHome__8VillagerFv","10003aa0"
".GetTribalPower__6ObjectF10TRIBE_TYPE","10003b20"
".CheckTakeResourcesToStoragePit__8VillagerFv","10003bb0"
".JustAddResource__12PileResourceF13RESOURCE_TYPEUlb","10003c80"
".AddResource__10StoragePitF13RESOURCE_TYPEUlP16GInterfaceStatusbRC9MapCoordsi","10003d60"
".JustAddResource__3PotF13RESOURCE_TYPEUlb","10004180"
".SetCurrentUnion2Element__8VillagerFQ28Villager6UNION2","100042b0"
".SendMessageA__10GInterfaceF23INTERFACE_MESSAGE_TYPESP7LHCoord","10004300"
".IsTextReadTimeComplete__10HelpSystemFv","10004730"
".UpdateStatusInfo__10GInterfaceFRC9MapCoordsRC7LHPoint","100049f0"
".AtHome__8VillagerFv","10004a80"
".FarmerArrivesAtFarm__8VillagerFv","10004ad0"
".GetFoodCapacity__8VillagerFv","10004d10"
".GetPointCount__13GestureSystemCFv","10004d80"
".GetSampleAt__13GestureSystemFl","10004dc0"
".CalculateKeyPoint__13GestureSystemFl","10004e80"
".CalculateKeyAngleAndDirection__13GestureSystemFl","10004ff0"
".AddPoint__13GestureSystemFP7LHPointP7LHCoord","10005100"
".__ct__9MapCoordsFP9JustMapXZ","10005320"
".Create__13PSysInterfaceFP5Spell13PARTICLE_TYPERC7LHPointRC7LHPointfQ213PSysInterface13NET_GAME_TYPE","100053c0"
".GetAngleFromXZ__6GUtilsFllll","10005460"
".ScriptWarningMessage__7GScriptFPc","100054c0"
".RemoveReference__7GScriptFv","10005500"
".UseFootpathIfNecessary__16GameThingWithPosFP6LivingRC9MapCoordsUc","10005560"
".EnterSitAndChillOut__8VillagerFUcUc","10005660"
".MSeconds__7LHTimerFv","100056e0"
".Start__7LHTimerFv","10005790"
".Reset__7LHTimerFUl","10005830"
".GetScriptObjectType__8VillagerFv","10005a00"
".UpdatePosition__12ValueSpinnerFf","10005a90"
".InGameEditor__10GInterfaceCFv","10005ae0"
".GetFocusThing__16CameraModeScriptCFv","10005c70"
".GetComputerPlayerFocus__16CameraModeScriptFv","10005cd0"
".GetComputerPlayerFollow__16CameraModeScriptFv","10005d20"
".Pos__7LHMouseFv","10005d70"
".GetNorme__7LHPointCFv","10005db0"
".GetNearestActiveWorshipSite__7CitadelCFRC9MapCoordsf","10005e50"
".ScriptPlayAnim__8VillagerFv","10005f50"
".ShepherdWaitForFlock__8VillagerFv","10006020"
".CheckNeeds__6AnimalFv","100061e0"
".ArrivesAtStoragePitForDropOff__8VillagerFv","100062f0"
".LookForFlocksInSpiral__6AnimalFRC9MapCoordsPC11GAnimalInfoli","10006520"
".UpdateHelpProfile__10GInterfaceFv","100066f0"
".SlaughterAnimalIsClose__8VillagerFfP6Living","10006770"
".IsFunctional__6LivingFv","10006820"
".IsEffectReceiver__6ObjectFP12EffectValues","100068d0"
".IsLiving__6LivingFv","10006920"
".SpecialEffectOnId__7GScriptFv","10006950"
".IncrementScriptReference__7GScriptFUl","10006ae0"
".AddReference__7GScriptFv","10006b80"
".Arrived__7GCameraFv","10006be0"
".Arrived__16CameraModeScriptFv","10006c70"
".__ct__16InitialThrowInfoFv","10006e20"
".SetTimerTime__7GScriptFv","10006e80"
".SetSize__12PileResourceFv","10007020"
".GetNextPos__8FishFarmFR9MapCoordsRUl","10007210"
".UpdateHowImpressed__8VillagerFP8Reactioni","100072a0"
".SetAngleOnMoveBy__13MobileWallHugFv","10007440"
".GetSpeed__13MobileWallHugCFv","100074c0"
".Accumulate__6AnimalFP6JustXZP6JustXZ","10007500"
".GetAccumulateRemaining__6AnimalFP6JustXZ","100076a0"
".GetFoodDesireFromFood__8VillagerFf","10007760"
".Set__9MapCoordsFRC9MapCoords","100077f0"
".GetThingBeliefForPlayer__7GScriptFv","10007880"
".IncreaseReferenceCount__12ScriptManageFv","10007a60"
".GetInfo__12PlannedAbodeFv","10007bf0"
".GetAbodeType__12PlannedAbodeFv","10007c40"
".GetBestPlanned__4TownFRf10ABODE_TYPE","10007ca0"
".ProcessPosition__6CMouseFv","10007d80"
".KeepLeaderWithinDomain__6AnimalFv","10007e30"
".GetArrivePos__10StoragePitFv","10007fb0"
".GetCongregationPos__4TownFv","10008020"
".GetScriptObjectType__7FeatureFv","10008370"
".GetScriptObjectType__15ScriptHighlightFv","100083b0"
".Height__8LHScreenFv","10008400"
".Width__8LHScreenFv","10008430"
".GetScriptObjectType__12MobileStaticFv","10008460"
".LocalRand__5GDataFl","100084a0"
".XZWholeMapDistance__6GUtilsFRC9MapCoordsRC9MapCoords","10008510"
".Abs__6GUtilsFl","100085c0"
".__ct__11PSysManagerFRC12PSysFileData","10008610"
".SendPacketCompressed__5GGameF11PACKET_TYPE25SETPACKET_FUNCTION_NUMBER","10008870"
".AtStructureAddResource__8VillagerFP13MultiMapFixed13RESOURCE_TYPERUlb","100094e0"
".GetPosOutsideMyHouse__8VillagerFR9MapCoords","100096d0"
".AddDrawing__12ValueSpinnerFv","10009800"
".Update__16CameraModeScriptFv","10009ad0"
".Update__16CameraModeFollowFv","10009b40"
".GetInterfaceUpdateCount__5GGameFv","1000a590"
".InterfaceActionStateInterfaceOff__10GInterfaceFv","1000a5f0"
".ChangeStateToFindFoodToEat__8VillagerFv","1000a640"
".CheckNeededForSomething__8VillagerFv","1000a8c0"
".GetAbode__8VillagerFv","1000a960"
".SetVillagerDisciple__8VillagerFP9GameThing17VILLAGER_DISCIPLEi","1000a990"
".IsInACreaturesHand__8VillagerFv","1000ab40"
".InHand__8VillagerFv","1000abe0"
".IsDialogueControlled__10HelpSystemCFv","1000ae30"
".IsEffectReceiver__8VillagerFP12EffectValues","1000aef0"
